id,network,name,state,lat,lon,elevation_m,in_range,km_outside,n_seasons
0J4,AL_ASOS,Florala,AL,31.0447,-86.3119,91.0,True,0.0,16
1M4,AL_ASOS,Haleyville,AL,34.2803,-87.6004,284.0,False,24.1,17
79J,AL_ASOS,Andalusia,AL,31.3061,-86.3902,98.0,True,0.0,19
ANB,AL_ASOS,Anniston,AL,33.5904,-85.8479,182.0,True,0.0,25
AUO,AL_ASOS,AUBURN-OPELIKA APT,AL,32.6151,-85.434,236.0,True,0.0,20
BFM,AL_ASOS,MOBILE DOWNTOWN,AL,30.6268,-88.0681,8.0,True,0.0,24
BHM,AL_ASOS,BIRMINGHAM MUNI,AL,33.5655,-86.7449,192.0,True,0.0,26
DCU,AL_ASOS,DECATUR/PRYOR FIELD,AL,34.6525,-86.9453,177.0,False,56.3,20
DHN,AL_ASOS,DOTHAN MUNICIPAL,AL,31.32,-85.45,122.0,True,0.0,26
EET,AL_ASOS,Alabaster,AL,33.1784,-86.7818,172.0,True,0.0,24
EUF,AL_ASOS,Eufaula,AL,31.9513,-85.1289,87.0,True,0.0,16
GZH,AL_ASOS,EVERGREEN,AL,31.4158,-87.0441,79.0,True,0.0,23
HSV,AL_ASOS,HUNTSVILLE/MADISON,AL,34.6439,-86.7861,196.0,False,51.4,26
JKA,AL_ASOS,Gulf Shores,AL,30.2905,-87.6718,4.9,True,0.0,17
MDQ,AL_ASOS,HUNTSVILLE/MADISON COUNTY EXEC,AL,34.86,-86.56,230.0,False,75.0,23
MGM,AL_ASOS,MONTGOMERY/DANNELLY,AL,32.3006,-86.394,62.0,False,24.6,26
MOB,AL_ASOS,MOBILE/BATES FIELD,AL,30.6883,-88.2456,67.0,True,0.0,26
MSL,AL_ASOS,MUSCLE SHOALS RGNL,AL,34.7438,-87.5996,168.0,False,68.4,26
MXF,AL_ASOS,MAXWELL AFB/MONTGOM,AL,32.3829,-86.3658,51.0,False,17.8,17
OZR,AL_ASOS,CAIRNS AAF/OZARK,AL,31.2758,-85.7134,91.0,True,0.0,25
PRN,AL_ASOS,Greenville,AL,31.8457,-86.6108,137.5,True,0.0,15
TCL,AL_ASOS,TUSCALOOSA MUNI,AL,33.2119,-87.6161,52.0,True,0.0,25
TOI,AL_ASOS,TROY MUNICIPAL,AL,31.8604,-86.0121,121.0,True,0.0,23
ELD,AR_ASOS,EL DORADO/GOODWIN,AR,33.221,-92.8133,77.0,False,92.0,25
AAF,FL_ASOS,APALACHICOLA MUNI (ASOS),FL,29.7276,-85.0274,6.0,True,0.0,23
APF,FL_ASOS,NAPLES MUNICIPAL,FL,26.1525,-81.7753,3.0,False,58.1,26
BKV,FL_ASOS,BROOKSVILLE (ASOS),FL,28.4736,-82.4554,20.0,True,0.0,26
BOW,FL_ASOS,Bartow,FL,27.9434,-81.7834,38.1,True,0.0,23
CEW,FL_ASOS,CRESTVIEW/BOB SIKES,FL,30.78,-86.52,65.0,True,0.0,25
COF,FL_ASOS,PATRICK AFB/COCOA B,FL,28.235,-80.61,3.0,False,29.5,19
CRG,FL_ASOS,JACKSONVILLE/CRAIG,FL,30.3361,-81.5147,12.0,True,0.0,26
DAB,FL_ASOS,DAYTONA BEACH RGNL,FL,29.1799,-81.0581,11.0,True,0.0,26
DTS,FL_ASOS,Destin - Fort Walton Beach,FL,30.3934,-86.4674,7.3086386,True,0.0,25
ECP,FL_ASOS,Panama City,FL,30.3582,-85.7956,69.0,True,0.0,16
EGI,FL_ASOS,DUKE FLD/EGLIN,FL,30.6503,-86.5229,59.0,True,0.0,18
EVB,FL_ASOS,NEW SMYRNA BEACH MUNI,FL,29.0557,-80.9489,3.0,False,2.9,21
FMY,FL_ASOS,FORT MYERS/PAGE FLD,FL,26.585,-81.8614,5.0,False,14.2,26
FPR,FL_ASOS,FT PIERCE/ST LUCIE,FL,27.4981,-80.3767,7.0,False,36.1,26
GIF,FL_ASOS,WINTER HAVEN (ASOS),FL,28.0629,-81.7533,44.0,True,0.0,25
GNV,FL_ASOS,GAINESVILLE RGNL,FL,29.6917,-82.276,46.0,True,0.0,26
HRT,FL_ASOS,HURLBURT FIELD (AF),FL,30.4278,-86.6893,12.0,True,0.0,22
INF,FL_ASOS,Inverness,FL,28.8036,-82.3182,15.732533,True,0.0,16
ISM,FL_ASOS,KISSIMMEE MUNI AIRPORT/ORLANDO,FL,28.29,-81.44,25.0,True,0.0,24
JAX,FL_ASOS,Jacksonville Intl,FL,30.4941,-81.6879,6.0,True,0.0,26
LAL,FL_ASOS,LAKELAND REGIONAL,FL,27.9889,-82.0186,43.0,True,0.0,25
LEE,FL_ASOS,LEESBURG MUNICIPAL AIRPORT,FL,28.82,-81.81,24.0,True,0.0,26
MAI,FL_ASOS,MARIANA,FL,30.8356,-85.1839,34.0,True,0.0,26
