id,name,state,network,lat,lon,elevation_m,archive_begin,archive_end,online,in_range,km_outside,n_days,first_date,last_date,complete_seasons,complete_last,live_ok,usable
18H,Lucius,TX,TX_ASOS,26.1283,-92.0333,30.0,2023-09-20,,True,False,456.9,1066.0,2023-09-20,2026-09-20,1.0,False,True,False
25T,PHI OIL PLAT,GM,TX_ASOS,26.93,-94.68,10.0,2005-02-17,2010-09-27,False,False,296.6,,,,,,False,False
4F2,Carthage,TX,TX_ASOS,32.176,-94.2988,75.229965,2019-09-20,,True,False,55.9,2492.0,2019-09-20,2026-09-20,6.0,True,True,False
6R3,Cleveland,TX,TX_ASOS,30.3564,-95.008,45.7,2009-10-20,,True,False,14.1,5698.0,2009-10-20,2026-06-03,13.0,False,False,False
ASL,Marshall,TX,TX_ASOS,32.5205,-94.3078,108.8,2011-05-18,,True,False,93.7,5523.0,2011-05-18,2026-09-20,14.0,True,True,False
ATA,Atlanta,TX,TX_ASOS,33.1018,-94.1953,81.0,2018-07-11,,True,False,132.3,986.0,2018-07-11,2026-04-24,1.0,False,False,False
AXH,Houston SW,TX,TX_ASOS,29.5061,-95.4769,20.7,2009-05-12,,True,False,79.3,6208.0,2009-05-12,2026-09-20,15.0,False,True,False
BMT,Beaumont,TX,TX_ASOS,30.0702,-94.2151,9.8,2011-03-10,,True,True,0.0,5496.0,2011-03-09,2026-09-20,10.0,True,True,False
BPT,Beaumont - Port Arthur,TX,TX_ASOS,29.9521,-94.0261,4.5784636,1944-03-04,,True,False,12.3,9394.0,2001-01-01,2026-09-20,26.0,True,True,True
BQX,Brazos 451,TX,TX_ASOS,28.4936,-95.7244,0.0,2010-05-13,,True,False,165.1,4304.0,2010-05-13,2026-09-20,7.0,True,True,False
BYY,Bay City Regional,TX,TX_ASOS,28.9732,-95.8634,13.0,2002-11-11,,True,False,138.7,8536.0,2002-11-11,2026-09-20,21.0,True,True,False
CRH,West Cameron,GM,TX_ASOS,28.9086,-93.3016,0.0,2010-08-03,2015-10-14,False,False,137.7,,,,,,False,False
